id,ticker,name,,
1,AAL,American Airlines,,
2,AAPL,Apple,,
3,ADBE,Adobe Systems,,
4,ADI,Analog Devices,,
5,ADP,Automatic Data Processing,,
6,ADSK,Autodesk,,
7,AKAM,Akamai,,
8,ALXN,Alexion Pharmaceuticals,,
9,AMAT,Applied Materials,,
10,AMGN,Amgen,,
11,AMZN,Amazon,,
12,ATVI,Activision,,
13,AVGO,Broadcom,,
14,BIDU,Baidu,,
15,BIIB,Biogen,,
16,BMRN,Biomarin Pharmaceutical,,
17,CA,CA,,
18,CELG,Celgene,,
19,CERN,Cerner,,
20,CHKP,Check Point Software Technologies,,
21,CHTR,Charter Communications,,
22,CTRP,Ctrip.Com International,,
23,CTAS,Cintas,,
24,CSCO,Cisco,,
25,CTXS,Citrix,,
26,CMCSA,Comcast,,
27,COST,Costco,,
28,CSX,CSX,,---
29,CTSH,Cognizant Technology Solutions,,
30,DISCA,Discovery,,
31,DISH,DISH Network,,
32,DLTR,Dollar Tree,,
33,EA,Electronic Arts,,
34,EBAY,eBay,,
35,ESRX,Express Scripts Holding,,
36,EXPE,Expedia,,
37,FAST,Fastenal,,
38,FB,Facebook,,
39,FISV,Fiserv,,
40,FOX,21st Century Fox,,
41,GILD,Gilead Sciences,,
42,GOOG,Google,,
43,HAS,Hasbro,,
44,HSIC,Henry Schein,,
45,HOLX,Hologic,,
46,ILMN,Illumina,,
47,INCY,Incyte,,
48,INTC,Intel,,
49,INTU,Intuit,,
50,ISRG,Intuitive Surgical,,
51,JBHT,J.B. Hunt Transport Services,,
52,JD,JD.com,,
53,KLAC,KLA-Tencor,,
54,KHC,Kraft Heinz,,
55,LILA,Liberty Global,,
56,QVCA,Liberty Interactive,,
57,MELI,MercadoLibre,,
58,MAR,Marriott,,
59,MAT,Mattel,,
60,MDLZ,Mondelez International,,
61,MNST,Monster Beverage,,
62,MSFT,Microsoft,,
63,MU,Micron,,
64,MXIM,Maxim Integrated Products,,
65,MYL,Mylan,,
66,NCLH,Norwegian Cruise Line,,
67,NFLX,Netflix,,
68,NTES,NetEase,,
69,NVDA,NVIDIA,,
70,PAYX,Paychex,,
71,PCLN,The Priceline Group,,
72,PYPL,PayPal,,
73,QCOM,Qualcomm,,
74,REGN,Regeneron Pharmaceuticals,,
75,ROST,Ross Stores,,
76,SHPG,Shire,,
77,SIRI,Sirius XM,,
78,SWKS,Skyworks Solutions,,
79,SBUX,Starbucks,,
80,SYMC,Symantec,,
81,TSCO,Tractor Supply,,
82,TXN,Texas Instruments,,
83,TMUS,T-Mobile,,
84,ULTA,Ulta Beauty,,
85,VIAB,Viacom,,
86,VOD,Vodafone,,
87,VRTX,Vertex Pharmaceuticals,,
88,WBA,Walgreens,,
89,WDC,Western Digital,,
90,XRAY,Dentsply Sirona,,
91,IDXX,IDEXX Laboratories,,
92,LILAK,Liberty Global,,
93,LRCX,Lam Research,,
94,MCHP,Microchip Technology,,
95,ORLY,O'Reilly Automotive,,
96,PCAR,PACCAR,,
97,STX,Seagate,,
98,TSLA,Tesla,,
99,VRSK,Verisk Analytics,,
100,WYNN,Wynn Resorts,,
101,XLNX,Xilinx,,
102,SNAP,Snapchat,,
103,AMD,Advanced Micro Devices,,
104,NDAQ,Nasdaq,,
105,SHOP,Shopify,,
106,DIS,Disney,,
107,PG,Proctor and Gamble,,
108,JPM,JP Morgan,,
109,BAC,Bank of America,,
110,WFC,Wells Fargo,,
111,JNJ,Johnson and Johnson,,
112,KO,Coca Cola,,
113,AMEX,American Express,,
114,WMT,Walmart,,
115,GE,General Electric,,
116,NKE,Nike,,
117,GS,Goldman Sachs,,
118,TGT,Target,,
119,V,Visa,,
120,MCD,Mcdonalds,,
