"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BABA","Alibaba Group Holding Limited","179.2","453262062668.8","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"GOOG","Alphabet Inc.","978.89","678252802008.32","n/a","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","993.64","688472774456.32","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl",
"AMZN","Amazon.com, Inc.","989.58","475373962432.86","n/a","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"BUD","Anheuser-Busch Inbev SA","121.61","235132935000","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"AAPL","Apple Inc.","155.3","802159908400","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"T","AT&T Inc.","38.59","236942600000","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/t",
"BAC","Bank of America Corporation","26.21","276530710816.24","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac",
"CVX","Chevron Corporation","117.03","221772164693.67","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"CHL","China Mobile (Hong Kong) Ltd.","50.13","205287191505.27","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chl",
"C","Citigroup Inc.","75.64","206085423025.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c",
"XOM","Exxon Mobil Corporation","81.71","346213917205.88","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/xom",
"FB","Facebook, Inc.","172.23","500189777662.32","n/a","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"GE","General Electric Company","24.39","211167302940","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/ge",
"JPM","J P Morgan Chase & Co","96.92","341058030617.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm",
"JNJ","Johnson & Johnson","133.22","357562443764.16","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jnj",
"MSFT","Microsoft Corporation","76","585370542404","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/msft",
"NVS","Novartis AG","85.77","200950533000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvs",
"ORCL","Oracle Corporation","48.4","201996736387.6","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/orcl",
"PFE","Pfizer, Inc.","36.05","214401933396.7","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pfe",
"PG","Procter & Gamble Company (The)","92.33","235442813855.9","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/pg",
"V","Visa Inc.","106.73","244066474877.55","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/v",
"WMT","Wal-Mart Stores, Inc.","79","235988929797","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/wmt",
"WFC","Wells Fargo & Company","55.58","275896043146.78","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wfc",
