"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.89","313456312.89","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","46.19","194810759.24","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","5.8","1078543895.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","4.65","188947737.3","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","27.34","1636654420","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","19.1","2496450544.7","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"ALDW","Alon USA Partners, LP","11.73","733469017.44","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AETI","American Electric Technologies, Inc.","1.55","13353666.95","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AEUA","Anadarko Petroleum Corporation","38.91","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","48.64","27255820367.36","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"ANDV","Andeavor","105.99","16629997298.31","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/andv",
"ANDX","Andeavor Logistics LP","49.84","5386464479.2","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","20.24","6385110634.32","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","45.17","17206794697.27","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","2.52","217984946.76","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
