"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","4.05","204919668.45","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","136.25","87608750000","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","50.63","8679154033.87","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","179.2","453262062668.8","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","3.64","131190361.12","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","226.22","12551463796.8","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","4.1","108353102.6","n/a","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","124.02","4952099004.84","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","19.6","1256028368","n/a","2016","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","16.6","438501499.8","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily",
"RILYL","B. Riley Financial, Inc.","25.91","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","25.59","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","6.2","89379448","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BFAM","Bright Horizons Family Solutions Inc.","85.84","5078067267.36","n/a","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","81.68","9519298727.52","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","5.05","63655679.25","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","17.21","4620344743.68","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","34.55","37305752569.5","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
