"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TURN","180 Degree Capital Corp.","1.75","54462733.5","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","17.9","144439986.7","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"AHC","A.H. Belo Corporation","4.45","96801588.7","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AAC","AAC Holdings, Inc.","9.17","220638342.96","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"IAF","Aberdeen Australia Equity Fund Inc","6.12","139183035.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","8.98","84032056.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","14.71","139521599.23","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe",
"FCO","Aberdeen Global Income Fund, Inc.","8.973","78287531.697","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"GCH","Aberdeen Greater China Fund, Inc.","12.1","106683207.4","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"IF","Aberdeen Indonesia Fund, Inc.","7.8099","72297845.3295","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","20.8199","82144249.2132","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.8","117723689.6","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","12.34","91549818.32","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ACTG","Acacia Research Corporation","4.05","204919668.45","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACRX","AcelRx Pharmaceuticals, Inc.","5.1","231440412.3","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACU","Acme United Corporation.","24","80926872","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","28.05","196778014.95","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
