"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TWOU","2U, Inc.","58.92","3062720166.48","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","60.86","1630644559.06","26793371","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","64.85","9440504638.9","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/wuba",
"AAN","Aaron&#39;s,  Inc.","44.39","3221750781.39","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABMD","ABIOMED, Inc.","174.88","7712586790.08","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","42.62","2776092398.96","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ACHC","Acadia Healthcare Company, Inc.","45.63","4010012813.43","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","38.54","4717307793.24","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","29.6","2476316848.8","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACIW","ACI Worldwide, Inc.","23.87","2821548671.48","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"AYI","Acuity Brands Inc","174.2","7332652511.6","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADNT","Adient plc","84.67","7885039551.74","n/a","2016","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adnt",
"ATGE","Adtalem Global Education Inc.","36","2234736000","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","94.29","6964503422.52","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AAAP","Advanced Accelerator Applications S.A.","70.71","2954507678.79","41783449","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ADSW","Advanced Disposal Services, Inc.","24.48","2162987389.44","n/a","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"AEIS","Advanced Energy Industries, Inc.","83.29","3326829398.67","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"ACM","AECOM","36.37","5699570159.35","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"AER","Aercap Holdings N.V.","51.97","8492865993.22","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","35.05","2632255000","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd",
"AGCO","AGCO Corporation","75.48","6003618438.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"AGIO","Agios Pharmaceuticals, Inc.","70.45","3409159617.3","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio",
"AGNC","AGNC Investment Corp.","21.46","7792573870.2","n/a","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.94","8986915153.02","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb",
"AL","Air Lease Corporation","43.26","4464952763.88","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"AKAM","Akamai Technologies, Inc.","50.63","8679154033.87","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKRX","Akorn, Inc.","32.83","4101012470.45","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"AGI","Alamos Gold Inc.","7.07","2125620923.72","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/agi",
"ALRM","Alarm.com Holdings, Inc.","47.41","2214434150.06","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm",
"ALK","Alaska Air Group, Inc.","80.56","9951211299.28","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"AA","Alcoa Corporation","47.49","8754284374.68","n/a","2016","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/aa",
"ALEX","Alexander & Baldwin Holdings, Inc.","45.75","2249135514","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","429.14","2191742430.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/alx",
"AQN","Algonquin Power & Utilities Corp.","10.7","4092412853.7","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aqn",
"ALKS","Alkermes plc","51.5","7913327105.5","n/a","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"Y","Alleghany Corporation","548.25","8453656992.75","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","24.67","2686061804.28","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"ALGT","Allegiant Travel Company","131.95","2120481890.8","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"ALLE","Allegion plc","87.19","8281737877.69","n/a","2013","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/alle",
"ALE","Allete, Inc.","78.31","3990429827.16","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"ARLP","Alliance Resource Partners, L.P.","19.1","2496450544.7","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AB","AllianceBernstein Holding L.P.","24.75","2307673095.75","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"LNT","Alliant Energy Corporation","41.92","9686136520.64","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/lnt",
