"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","10.05","652033286.7","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"SRCE","1st Source Corporation","51.13","1326073116.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.17","427990442.61","59691833","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","3.41","350412759.4","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"DDD","3D Systems Corporation","13.47","1532889354.03","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"WBAI","500.com Limited","11.5","468827607","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"CAFD","8point3 Energy Partners LP","14.86","1175144135.52","n/a","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","14.1","1294784655.9","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","17.7","397465695.3","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","36.65","1079881988","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"ATEN","A10 Networks, Inc.","7.64","540654111.8","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAON","AAON, Inc.","35.45","1864798399.9","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","38.85","1345068313.05","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"ABAX","ABAXIS, Inc.","46.65","1058517749.55","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","17.7","713084484.3","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ANF","Abercrombie & Fitch Company","14.43","982496665.41","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","5.1","1285867202.4","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"AXAS","Abraxas Petroleum Corporation","1.89","313456312.89","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","11.26","640944444.92","n/a","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","48.02","1883734562.5","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"AXDX","Accelerate Diagnostics, Inc.","22.2","1227620528.4","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","38.15","1682051773.85","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","28.95","591933065.1","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACCO","Acco Brands Corporation","12.65","1376875474.15","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","4.45","372670825.85","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACET","Aceto Corporation","11.6","349269237.2","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","15.26","644480234.3","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","4.76","650985239.8","n/a","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACRS","Aclaris Therapeutics, Inc.","27.61","738195234.37","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs",
"ACOR","Acorda Therapeutics, Inc.","25.5","1189592824.5","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACTA","Actua Corporation","15.5","508400000","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ATU","Actuant Corporation","26.1","1558067818.5","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"GOLF","Acushnet Holdings Corp.","18.02","1341624625.54","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/golf",
"ACXM","Acxiom Corporation","24.75","1975303242","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","23.11","520300296.36","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADX","Adams Diversified Equity Fund, Inc.","15.33","1515111331.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","19.57","558744028.93","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo",
"ADAP","Adaptimmune Therapeutics plc","8.16","465867970.08","57091663","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","35.8","416158388.8","n/a","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AGRO","Adecoagro S.A.","10.62","1282940827.02","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ADOM","ADOMANI, Inc.","6.69","455394521.7","n/a","2017","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adom",
"ADTN","ADTRAN, Inc.","24.25","1159131376","n/a","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","10.35","772238847.15","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro",
"WMS","Advanced Drainage Systems, Inc.","20.1","1110447574.8","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","43.16","1315644812.56","n/a","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/asix",
"AAV","Advantage Oil & Gas Ltd","5.8","1078543895.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"AVK","Advent Claymore Convertible Securities and Income Fund","16.31","326913480.95","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AEGN","Aegion Corp","22.45","741123418.55","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AERI","Aerie Pharmaceuticals, Inc.","52.65","1913333748.3","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","53.3","1270687990","n/a","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"MITT","AG Mortgage Investment Trust, Inc.","19.22","534862636.02","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt",
"AGEN","Agenus Inc.","4.71","469644956.55","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"ADC","Agree Realty Corporation","49.02","1403780985.06","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc",
"AGFS","AgroFresh Solutions, Inc.","7.06","355384197.3","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AIMT","Aimmune Therapeutics, Inc.","25.36","1281568538.32","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aimt",
"ATSG","Air Transport Services Group, Inc","24.5","1448516244","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"AYR","Aircastle Limited","22.69","1786013966.45","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"AKS","AK Steel Holding Corporation","5.58","1756852364.52","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"AKCA","Akcea Therapeutics, Inc.","27.96","1860503946.84","n/a","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","18.97","894462608.13","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"ALG","Alamo Group, Inc.","108.49","1261499371.06","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AIN","Albany International Corporation","57.1","1832910000","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain",
"ALDR","Alder BioPharmaceuticals, Inc.","12.75","863348820.75","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ABTX","Allegiance Bancshares, Inc.","37.55","494213949.5","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx",
"AHGP","Alliance Holdings GP, L.P.","27.34","1636654420","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"AFB","Alliance National Municipal Income Fund Inc","13.86","398404812.96","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/afb",
"AWF","Alliance World Dollar Government Fund II","12.97","1118398910.69","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/awf",
"NCV","AllianzGI Convertible & Income Fund","7.16","634253986.44","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/ncv",
"NCZ","AllianzGI Convertible & Income Fund II","6.26","467910191.62","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/ncz",
"NIE","AllianzGI Equity & Convertible Income Fund","20.61","571081768.65","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/nie",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","13.35","1265601106.35","n/a","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"AFAM","Almost Family Inc","50.6","706579968.6","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"ALDW","Alon USA Partners, LP","11.73","733469017.44","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AOSL","Alpha and Omega Semiconductor Limited","17.15","412249470.5","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"AWP","Alpine Global Premier Properties Fund","6.69","571379192.19","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/awp",
"AOD","Alpine Total Dynamic Dividend Fund","9.09","978023451.51","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/aod",
"AYX","Alteryx, Inc.","20.69","1215498789.01","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ayx",
"ASPS","Altisource Portfolio Solutions S.A.","27.12","489488256.24","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"RESI","Altisource Residential Corporation","11.32","604028860.8","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/resi",
"AIMC","Altra Industrial Motion Corp.","46","1348234608","n/a","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","18.75","661657162.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation plc","3.51","926226837.9","263882290","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMBC","Ambac Financial Group, Inc.","16.92","765649728.72","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBA","Ambarella, Inc.","49.73","1651742414.65","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"AMC","AMC Entertainment Holdings, Inc.","15.2","1989751500.8","n/a","2013","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/amc",
"AMED","Amedisys Inc","52.75","1786225564","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"AMRC","Ameresco, Inc.","7.85","357393583.25","n/a","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"ATAX","America First Multifamily Investors, L.P.","6.1","367542860.8","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AAT","American Assets Trust, Inc.","40.27","1897927637.01","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aat",
"AXL","American Axle & Manufacturing Holdings, Inc.","17.85","1986527785.2","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/axl",
"AMID","American Midstream Partners, LP","14.5","750516911.5","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amid",
"AMNB","American National Bankshares, Inc.","41.85","361705909.05","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"AOBC","American Outdoor Brands Corporation","15.7","847824068.1","n/a","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/aobc",
"APEI","American Public Education, Inc.","20.9","339596576","n/a","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","40.09","765072669.02","n/a","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"ARA","American Renal Associates Holdings, Inc","15.42","482421870.3","n/a","2016","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ara",
"AMSWA","American Software, Inc.","11.82","351381697.68","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AWR","American States Water Company","51.8","1898198464.4","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awr",
"AVD","American Vanguard Corporation","22.75","677582018.75","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
"AMWD","American Woodmark Corporation","95.65","1554303891.5","n/a","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","41.75","307528036.75","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","49.4","1839017307.4","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","59.65","1147905971.95","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"AMPH","Amphastar Pharmaceuticals, Inc.","18.94","874951141.48","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph",
"BETR","Amplify Snack Brands, inc.","7.23","554853458.91","n/a","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/betr",
"ALOG","Analogic Corporation","83.3","1037564474.8","n/a","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
