"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRT","Air T, Inc.","18.5","37791596.5","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","24.5","1448516244","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","80.56","9951211299.28","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","131.95","2120481890.8","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","51.3","24983572729.5","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","32.85","844449688.35","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","8.9","298822929","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","66","1667539368","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","7.74","964585201.14","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/avh",
"AZUL","Azul S.A.","28.23","8741561186.37","n/a","2017","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/azul",
"BSTI","BEST Inc.","10.83","3996642541.17","n/a","2017","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/bsti",
"BCO","Brink&#39;s Company (The)","84","4240408956","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","9.44","333494441.44","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","76.52","10737739015.8","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","80.45","60243952015.95","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","164.79","24151401087.03","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","3.45","430937899.2","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CGI","Celadon Group, Inc.","5.4","152816781.6","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
